complexity,loss,score,equation,sympy_format,lambda_format,Iteration
15,16.330507,0.0006637456066804,(((72.60379 + Cu) + ((-0.8578757 - (Anthracene + Naphthalene)) / Acenaphthylene)) - Acenaphthylene) - -0.44709995,-Acenaphthylene + Cu - 1*(-0.44709995) + 72.60379 + (-(Anthracene + Naphthalene) - 0.8578757)/Acenaphthylene,PySRFunction(X=>-Acenaphthylene + Cu - 1*(-0.44709995) + 72.60379 + (-(Anthracene + Naphthalene) - 0.8578757)/Acenaphthylene),100
17,16.26398,0.0020410535187,(((67.324844 + Cu) + (-0.7533195 / Acenaphthylene)) - ((Acenaphthylene - Anthracene) / -0.10540459)) + (var1_Methylnaphthalene / Octadecane),Cu - (Acenaphthylene - Anthracene)/(-0.10540459) + 67.324844 + var1_Methylnaphthalene/Octadecane - 0.7533195/Acenaphthylene,PySRFunction(X=>Cu - (Acenaphthylene - Anthracene)/(-0.10540459) + 67.324844 + var1_Methylnaphthalene/Octadecane - 0.7533195/Acenaphthylene),100
19,16.212366,0.0015892811172718,((((72.60379 + Cu) + ((-0.8578757 - (Anthracene + Naphthalene)) / Acenaphthylene)) - (Acenaphthylene / -0.14831303)) - -0.44709995) - 0.412532,-Acenaphthylene/(-0.14831303) + Cu - 1*0.412532 - 1*(-0.44709995) + 72.60379 + (-(Anthracene + Naphthalene) - 0.8578757)/Acenaphthylene,PySRFunction(X=>-Acenaphthylene/(-0.14831303) + Cu - 1*0.412532 - 1*(-0.44709995) + 72.60379 + (-(Anthracene + Naphthalene) - 0.8578757)/Acenaphthylene),100
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),11
5,17.747217,0.009110331320982,(P + 63.39511) + Heneicosane,Heneicosane + P + 63.39511,PySRFunction(X=>Heneicosane + P + 63.39511),11
7,17.40127,0.0098427614168465,(P + 60.546886) + (Ti ^ 2.851052),P + Ti**2.851052 + 60.546886,PySRFunction(X=>P + Ti**2.851052 + 60.546886),11
9,17.177576,0.0064691898785095,((P + 60.546886) + (Ti ^ 2.851052)) + Pentacosane,P + Pentacosane + Ti**2.851052 + 60.546886,PySRFunction(X=>P + Pentacosane + Ti**2.851052 + 60.546886),11
11,16.87752,0.0088111266814327,(P + (((-0.154459 / Ti) / Methylfluorene) - -68.71269)) - Methylfluorene,-Methylfluorene + P - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>-Methylfluorene + P - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),11
13,16.7969,0.0023941066848689,((((-0.1607346 / Ti) / Methylfluorene) - -66.12162) + (P + 1.3707918)) + Phenanthrene,P + Phenanthrene + 1.3707918 - 1*(-66.12162) - 0.1607346/(Methylfluorene*Ti),PySRFunction(X=>P + Phenanthrene + 1.3707918 - 1*(-66.12162) - 0.1607346/(Methylfluorene*Ti)),11
15,16.767872,0.0008648355256836,((P + var26_Dimethylnaphthalene) + (((-0.154459 / Ti) / Methylfluorene) - -68.71269)) + (-1.9352294 + Fluoranthene),Fluoranthene + P + var26_Dimethylnaphthalene - 1.9352294 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>Fluoranthene + P + var26_Dimethylnaphthalene - 1.9352294 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),11
17,16.730762,0.0011078068192544,((((-0.154459 / Ti) / Methylfluorene) - -68.71269) + (((0.10922983 + P) + Cd) - SO_4)) + -0.020316042,Cd + P - SO_4 - 0.020316042 + 0.10922983 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>Cd + P - SO_4 - 0.020316042 + 0.10922983 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),11
19,16.449106,0.0084889658266018,(1.4839118 * ((45.15057 / 0.7283899) + ((-2.5099142 - (-0.017598465 - Fluoranthene)) / ((Octadecane / Coniferylaldehyde) + Hexacosane)))) - Hexacosane,-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde)),PySRFunction(X=>-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde))),11
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),12
5,17.747217,0.009110331320982,(P + 63.39511) + Heneicosane,Heneicosane + P + 63.39511,PySRFunction(X=>Heneicosane + P + 63.39511),12
7,17.40127,0.0098427614168465,(P + 60.546886) + (Ti ^ 2.851052),P + Ti**2.851052 + 60.546886,PySRFunction(X=>P + Ti**2.851052 + 60.546886),12
9,17.177576,0.0064691898785095,((P + 60.546886) + (Ti ^ 2.851052)) + Pentacosane,P + Pentacosane + Ti**2.851052 + 60.546886,PySRFunction(X=>P + Pentacosane + Ti**2.851052 + 60.546886),12
11,16.87752,0.0088111266814327,(P + (((-0.154459 / Ti) / Methylfluorene) - -68.71269)) - Methylfluorene,-Methylfluorene + P - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>-Methylfluorene + P - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),12
13,16.7969,0.0023941066848689,((((-0.1607346 / Ti) / Methylfluorene) - -66.12162) + (P + 1.3707918)) + Phenanthrene,P + Phenanthrene + 1.3707918 - 1*(-66.12162) - 0.1607346/(Methylfluorene*Ti),PySRFunction(X=>P + Phenanthrene + 1.3707918 - 1*(-66.12162) - 0.1607346/(Methylfluorene*Ti)),12
15,16.767872,0.0008648355256836,((P + var26_Dimethylnaphthalene) + (((-0.154459 / Ti) / Methylfluorene) - -68.71269)) + (-1.9352294 + Fluoranthene),Fluoranthene + P + var26_Dimethylnaphthalene - 1.9352294 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>Fluoranthene + P + var26_Dimethylnaphthalene - 1.9352294 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),12
17,16.730762,0.0011078068192544,((((-0.154459 / Ti) / Methylfluorene) - -68.71269) + (((0.10922983 + P) + Cd) - SO_4)) + -0.020316042,Cd + P - SO_4 - 0.020316042 + 0.10922983 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>Cd + P - SO_4 - 0.020316042 + 0.10922983 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),12
19,16.449106,0.0084889658266018,(1.4839118 * ((45.15057 / 0.7283899) + ((-2.5099142 - (-0.017598465 - Fluoranthene)) / ((Octadecane / Coniferylaldehyde) + Hexacosane)))) - Hexacosane,-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde)),PySRFunction(X=>-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde))),12
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),13
5,17.747217,0.009110331320982,(P + 63.39511) + Heneicosane,Heneicosane + P + 63.39511,PySRFunction(X=>Heneicosane + P + 63.39511),13
7,17.40127,0.0098427614168465,(P + 60.546886) + (Ti ^ 2.851052),P + Ti**2.851052 + 60.546886,PySRFunction(X=>P + Ti**2.851052 + 60.546886),13
9,17.177576,0.0064691898785095,((P + 60.546886) + (Ti ^ 2.851052)) + Pentacosane,P + Pentacosane + Ti**2.851052 + 60.546886,PySRFunction(X=>P + Pentacosane + Ti**2.851052 + 60.546886),13
11,16.87752,0.0088111266814327,(P + (((-0.154459 / Ti) / Methylfluorene) - -68.71269)) - Methylfluorene,-Methylfluorene + P - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>-Methylfluorene + P - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),13
13,16.7969,0.0023941066848689,((((-0.1607346 / Ti) / Methylfluorene) - -66.12162) + (P + 1.3707918)) + Phenanthrene,P + Phenanthrene + 1.3707918 - 1*(-66.12162) - 0.1607346/(Methylfluorene*Ti),PySRFunction(X=>P + Phenanthrene + 1.3707918 - 1*(-66.12162) - 0.1607346/(Methylfluorene*Ti)),13
15,16.767872,0.0008648355256836,((P + var26_Dimethylnaphthalene) + (((-0.154459 / Ti) / Methylfluorene) - -68.71269)) + (-1.9352294 + Fluoranthene),Fluoranthene + P + var26_Dimethylnaphthalene - 1.9352294 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>Fluoranthene + P + var26_Dimethylnaphthalene - 1.9352294 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),13
17,16.730762,0.0011078068192544,((((-0.154459 / Ti) / Methylfluorene) - -68.71269) + (((0.10922983 + P) + Cd) - SO_4)) + -0.020316042,Cd + P - SO_4 - 0.020316042 + 0.10922983 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>Cd + P - SO_4 - 0.020316042 + 0.10922983 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),13
19,16.449106,0.0084889658266018,(1.4839118 * ((45.15057 / 0.7283899) + ((-2.5099142 - (-0.017598465 - Fluoranthene)) / ((Octadecane / Coniferylaldehyde) + Hexacosane)))) - Hexacosane,-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde)),PySRFunction(X=>-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde))),13
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),14
5,17.747217,0.009110331320982,(P + 63.39511) + Heneicosane,Heneicosane + P + 63.39511,PySRFunction(X=>Heneicosane + P + 63.39511),14
7,17.40127,0.0098427614168465,(P + 60.546886) + (Ti ^ 2.851052),P + Ti**2.851052 + 60.546886,PySRFunction(X=>P + Ti**2.851052 + 60.546886),14
9,17.177576,0.0064691898785095,((P + 60.546886) + (Ti ^ 2.851052)) + Pentacosane,P + Pentacosane + Ti**2.851052 + 60.546886,PySRFunction(X=>P + Pentacosane + Ti**2.851052 + 60.546886),14
11,16.87752,0.0088111266814327,(P + (((-0.154459 / Ti) / Methylfluorene) - -68.71269)) - Methylfluorene,-Methylfluorene + P - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>-Methylfluorene + P - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),14
13,16.7969,0.0023941066848689,((((-0.1607346 / Ti) / Methylfluorene) - -66.12162) + (P + 1.3707918)) + Phenanthrene,P + Phenanthrene + 1.3707918 - 1*(-66.12162) - 0.1607346/(Methylfluorene*Ti),PySRFunction(X=>P + Phenanthrene + 1.3707918 - 1*(-66.12162) - 0.1607346/(Methylfluorene*Ti)),14
15,16.767872,0.0008648355256836,((P + var26_Dimethylnaphthalene) + (((-0.154459 / Ti) / Methylfluorene) - -68.71269)) + (-1.9352294 + Fluoranthene),Fluoranthene + P + var26_Dimethylnaphthalene - 1.9352294 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>Fluoranthene + P + var26_Dimethylnaphthalene - 1.9352294 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),14
17,16.730762,0.0011078068192544,((((-0.154459 / Ti) / Methylfluorene) - -68.71269) + (((0.10922983 + P) + Cd) - SO_4)) + -0.020316042,Cd + P - SO_4 - 0.020316042 + 0.10922983 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>Cd + P - SO_4 - 0.020316042 + 0.10922983 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),14
19,16.449106,0.0084889658266018,(1.4839118 * ((45.15057 / 0.7283899) + ((-2.5099142 - (-0.017598465 - Fluoranthene)) / ((Octadecane / Coniferylaldehyde) + Hexacosane)))) - Hexacosane,-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde)),PySRFunction(X=>-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde))),14
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),15
5,17.747217,0.009110331320982,(P + 63.39511) + Heneicosane,Heneicosane + P + 63.39511,PySRFunction(X=>Heneicosane + P + 63.39511),15
7,17.40127,0.0098427614168465,(P + 60.546886) + (Ti ^ 2.851052),P + Ti**2.851052 + 60.546886,PySRFunction(X=>P + Ti**2.851052 + 60.546886),15
9,17.177576,0.0064691898785095,((P + 60.546886) + (Ti ^ 2.851052)) + Pentacosane,P + Pentacosane + Ti**2.851052 + 60.546886,PySRFunction(X=>P + Pentacosane + Ti**2.851052 + 60.546886),15
11,16.87752,0.0088111266814327,(P + (((-0.154459 / Ti) / Methylfluorene) - -68.71269)) - Methylfluorene,-Methylfluorene + P - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>-Methylfluorene + P - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),15
13,16.7969,0.0023941066848689,((((-0.1607346 / Ti) / Methylfluorene) - -66.12162) + (P + 1.3707918)) + Phenanthrene,P + Phenanthrene + 1.3707918 - 1*(-66.12162) - 0.1607346/(Methylfluorene*Ti),PySRFunction(X=>P + Phenanthrene + 1.3707918 - 1*(-66.12162) - 0.1607346/(Methylfluorene*Ti)),15
15,16.767872,0.0008648355256836,((P + var26_Dimethylnaphthalene) + (((-0.154459 / Ti) / Methylfluorene) - -68.71269)) + (-1.9352294 + Fluoranthene),Fluoranthene + P + var26_Dimethylnaphthalene - 1.9352294 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>Fluoranthene + P + var26_Dimethylnaphthalene - 1.9352294 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),15
17,16.730762,0.0011078068192544,((((-0.154459 / Ti) / Methylfluorene) - -68.71269) + (((0.10922983 + P) + Cd) - SO_4)) + -0.020316042,Cd + P - SO_4 - 0.020316042 + 0.10922983 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>Cd + P - SO_4 - 0.020316042 + 0.10922983 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),15
19,16.449106,0.0084889658266018,(1.4839118 * ((45.15057 / 0.7283899) + ((-2.5099142 - (-0.017598465 - Fluoranthene)) / ((Octadecane / Coniferylaldehyde) + Hexacosane)))) - Hexacosane,-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde)),PySRFunction(X=>-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde))),15
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),16
5,17.747217,0.009110331320982,(P + 63.39511) + Heneicosane,Heneicosane + P + 63.39511,PySRFunction(X=>Heneicosane + P + 63.39511),16
7,17.40127,0.0098427614168465,(P + 60.546886) + (Ti ^ 2.851052),P + Ti**2.851052 + 60.546886,PySRFunction(X=>P + Ti**2.851052 + 60.546886),16
9,17.177576,0.0064691898785095,((P + 60.546886) + (Ti ^ 2.851052)) + Pentacosane,P + Pentacosane + Ti**2.851052 + 60.546886,PySRFunction(X=>P + Pentacosane + Ti**2.851052 + 60.546886),16
11,16.87752,0.0088111266814327,(P + (((-0.154459 / Ti) / Methylfluorene) - -68.71269)) - Methylfluorene,-Methylfluorene + P - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>-Methylfluorene + P - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),16
13,16.7969,0.0023941066848689,((((-0.1607346 / Ti) / Methylfluorene) - -66.12162) + (P + 1.3707918)) + Phenanthrene,P + Phenanthrene + 1.3707918 - 1*(-66.12162) - 0.1607346/(Methylfluorene*Ti),PySRFunction(X=>P + Phenanthrene + 1.3707918 - 1*(-66.12162) - 0.1607346/(Methylfluorene*Ti)),16
15,16.767872,0.0008648355256836,((P + var26_Dimethylnaphthalene) + (((-0.154459 / Ti) / Methylfluorene) - -68.71269)) + (-1.9352294 + Fluoranthene),Fluoranthene + P + var26_Dimethylnaphthalene - 1.9352294 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>Fluoranthene + P + var26_Dimethylnaphthalene - 1.9352294 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),16
17,16.730762,0.0011078068192544,((((-0.154459 / Ti) / Methylfluorene) - -68.71269) + (((0.10922983 + P) + Cd) - SO_4)) + -0.020316042,Cd + P - SO_4 - 0.020316042 + 0.10922983 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>Cd + P - SO_4 - 0.020316042 + 0.10922983 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),16
19,16.449106,0.0084889658266018,(1.4839118 * ((45.15057 / 0.7283899) + ((-2.5099142 - (-0.017598465 - Fluoranthene)) / ((Octadecane / Coniferylaldehyde) + Hexacosane)))) - Hexacosane,-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde)),PySRFunction(X=>-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde))),16
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),17
5,17.747217,0.009110331320982,(P + 63.39511) + Heneicosane,Heneicosane + P + 63.39511,PySRFunction(X=>Heneicosane + P + 63.39511),17
7,17.35382,0.0112080299136796,(P + 65.12236) - (Ethylguaiacol * 0.44651067),-0.44651067*Ethylguaiacol + P + 65.12236,PySRFunction(X=>-0.44651067*Ethylguaiacol + P + 65.12236),17
9,17.01715,0.0097954980019427,(P + 65.12236) - ((Ethylguaiacol / Acenaphthylene) * 0.02810363),P + 65.12236 - 0.02810363*Ethylguaiacol/Acenaphthylene,PySRFunction(X=>P + 65.12236 - 0.02810363*Ethylguaiacol/Acenaphthylene),17
11,16.87752,0.0041195500611663,(P + (((-0.154459 / Ti) / Methylfluorene) - -68.71269)) - Methylfluorene,-Methylfluorene + P - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>-Methylfluorene + P - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),17
13,16.7969,0.0023941066848689,((((-0.1607346 / Ti) / Methylfluorene) - -66.12162) + (P + 1.3707918)) + Phenanthrene,P + Phenanthrene + 1.3707918 - 1*(-66.12162) - 0.1607346/(Methylfluorene*Ti),PySRFunction(X=>P + Phenanthrene + 1.3707918 - 1*(-66.12162) - 0.1607346/(Methylfluorene*Ti)),17
15,16.767872,0.0008648355256836,((P + var26_Dimethylnaphthalene) + (((-0.154459 / Ti) / Methylfluorene) - -68.71269)) + (-1.9352294 + Fluoranthene),Fluoranthene + P + var26_Dimethylnaphthalene - 1.9352294 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>Fluoranthene + P + var26_Dimethylnaphthalene - 1.9352294 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),17
17,16.730762,0.0011078068192544,((((-0.154459 / Ti) / Methylfluorene) - -68.71269) + (((0.10922983 + P) + Cd) - SO_4)) + -0.020316042,Cd + P - SO_4 - 0.020316042 + 0.10922983 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti),PySRFunction(X=>Cd + P - SO_4 - 0.020316042 + 0.10922983 - 1*(-68.71269) - 0.154459/(Methylfluorene*Ti)),17
19,16.449106,0.0084889658266018,(1.4839118 * ((45.15057 / 0.7283899) + ((-2.5099142 - (-0.017598465 - Fluoranthene)) / ((Octadecane / Coniferylaldehyde) + Hexacosane)))) - Hexacosane,-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde)),PySRFunction(X=>-Hexacosane + 1.4839118*(45.15057/0.7283899 + (-(-Fluoranthene - 0.017598465) - 2.5099142)/(Hexacosane + Octadecane/Coniferylaldehyde))),17
3,18.073547,0.0,P + 67.80656,P + 67.80656,PySRFunction(X=>P + 67.80656),18
5,17.747217,0.009110331320982,(P + 63.39511) + Heneicosane,Heneicosane + P + 63.39511,PySRFunction(X=>Heneicosane + P + 63.39511),18
7,17.35382,0.0112080299136796,(P + 65.12236) - (Ethylguaiacol * 0.44651067),-0.44651067*Ethylguaiacol + P + 65.12236,PySRFunction(X=>-0.44651067*Ethylguaiacol + P + 65.12236),18
9,16.636103,0.0211187209076863,(Cu + 72.80608) - ((0.91749144 / Acenaphthylene) + 1.1908554),Cu - (1.1908554 + 0.91749144/Acenaphthylene) + 72.80608,PySRFunction(X=>Cu - (1.1908554 + 0.91749144/Acenaphthylene) + 72.80608),18
