Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Binding and Uptake of Ligands by Scavenger Receptors	2.42E00	2.63E-02	NaN	HSPH1,MARCO,STAB1	
Antioxidant Action of Vitamin C	2.36E00	2.52E-02	NaN	CSF2,NOTUM,TXNRD1	
Striated Muscle Contraction	2.36E00	5.56E-02	NaN	ACTN2,MYL4	
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	2.36E00	5.56E-02	NaN	CDKN1A,MYC	
Sertoli Cell-Sertoli Cell Junction Signaling	2.32E00	1.62E-02	NaN	ACTN2,CLDN15,CREB1,GJA1	
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by IGFBPs	2.31E00	2.42E-02	NaN	IL6,NOTUM,SPP1	
Dopamine Degradation	2.29E00	5.13E-02	NaN	ALDH1A2,Il4i1/Il4i1b	
Estrogen Receptor Signaling	2.26E00	1.21E-02	NaN	CDKN1A,CREB1,MYC,MYL4,NOTUM	
Cardiac Hypertrophy Signaling	2.24E00	1.54E-02	NaN	CREB1,IL6,MYL4,NOTUM	
Mitotic G1 phase and G1/S transition	2.24E00	2.27E-02	NaN	CDKN1A,Cdkn2a,MYC	
S100 Family Signaling Pathway	2.24E00	8.89E-03	NaN	BDKRB2,CDKN1A,CREB1,FPR1,IL6,NOTUM,TACR1	
P2Y Purinergic Receptor Signaling Pathway	2.23E00	2.26E-02	NaN	CREB1,MYC,NOTUM	
IL-27 Signaling Pathway	2.22E00	2.24E-02	NaN	CSF2,GADD45G,TNFRSF9	
Ferroptosis Signaling Pathway	2.2E00	2.21E-02	NaN	ARF1,CDKN1A,TXNRD1	
Hereditary Breast Cancer Signaling	2.19E00	2.17E-02	NaN	CDKN1A,GADD45G,SFN	
Acetone Degradation I (to Methylglyoxal)	2.19E00	4.55E-02	NaN	CYP1A1,CYP1B1	
Arachidonic acid metabolism	2.17E00	4.44E-02	NaN	CYP1A1,CYP1B1	
Noradrenaline and Adrenaline Degradation	2.17E00	4.44E-02	NaN	ALDH1A2,Il4i1/Il4i1b	
DNA damage-induced 14-3-3σ Signaling	2.15E00	4.35E-02	NaN	CDKN1A,SFN	
MSP-RON Signaling in Cancer Cells Pathway	2.14E00	2.1E-02	NaN	CREB1,MYC,SFN	
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	2.13E00	2.08E-02	NaN	ADAMTS5,CEBPD,IL6	
Estrogen Biosynthesis	2.13E00	4.26E-02	NaN	CYP1A1,CYP1B1	
Chronic Myeloid Leukemia Signaling	2.12E00	1.42E-02	NaN	CDKN1A,MYC,NOTUM,SPP1	
Endocannabinoid Cancer Inhibition Pathway	2.12E00	2.05E-02	NaN	CDKN1A,CREB1,MYC	
Spermidine Biosynthesis I	2.09E00	3.33E-01	NaN	SRM	
Irritable Bowel Syndrome Signaling Pathway	2.08E00	1.38E-02	NaN	CSF2,IL6,MYL4,TNIP1	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	2.06E00	3.92E-02	NaN	CDKN1A,SFN	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.05E00	1.95E-02	NaN	CREB1,CSF2,IL6	
IL-10 Signaling	2.05E00	1.94E-02	NaN	CDKN1A,CREB1,IL6	
HEY1 Signaling Pathway	2E00	1.86E-02	NaN	CDKN1A,IL6,NPPA	
Role of Cytokines in Mediating Communication between Immune Cells	2E00	3.64E-02	NaN	CSF2,IL6	
Autism Signaling Pathway	1.98E00	1.29E-02	NaN	ALDH1A2,CSF2,IL6,UBE3A	
Deadenylation-dependent mRNA decay	1.98E00	3.57E-02	NaN	CNOT10,DCP1B	
Folate Signaling Pathway	1.97E00	3.51E-02	NaN	CDKN1A,MYC	
HOTAIR Regulatory Pathway	1.97E00	1.81E-02	NaN	CDKN1A,MYC,SPP1	
Parkinson's Signaling Pathway	1.95E00	1.27E-02	NaN	ALDH1A2,CSF2,Il4i1/Il4i1b,IL6	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	1.94E00	1.26E-02	NaN	CREB1,CSF2,PTPN1,SPP1	
Polyamine Regulation in Colon Cancer	1.94E00	3.39E-02	NaN	MYC,SRM	
Glioblastoma Multiforme Signaling	1.93E00	1.75E-02	NaN	CDKN1A,MYC,NOTUM	
Transcriptional Regulation by MECP2	1.88E00	3.17E-02	NaN	CREB1,PTPN1	
UFMylation Signaling Pathway	1.87E00	3.12E-02	NaN	IL6,MYC	
Gap Junction Signaling	1.87E00	1.2E-02	NaN	CREB1,GJA1,MYC,NOTUM	
Melatonin Degradation II	1.86E00	2E-01	NaN	Il4i1/Il4i1b	
WNT/Ca+ pathway	1.85E00	3.03E-02	NaN	CREB1,NOTUM	
SPINK1 General Cancer Pathway	1.82E00	2.94E-02	NaN	IL6,MT2A	
Cell Cycle: G1/S Checkpoint Regulation	1.81E00	2.9E-02	NaN	CDKN1A,MYC	
Cardiac Hypertrophy Signaling (Enhanced)	1.79E00	9.29E-03	NaN	CSF2,IL6,MYC,NOTUM,NPPA	
FXR/RXR Activation	1.78E00	1.54E-02	NaN	CSF2,Gsta1 (includes others),IL6	
IL-33 Signaling Pathway	1.77E00	1.53E-02	NaN	CREB1,CSF2,IL6	
Acetylcholine Receptor Signaling Pathway	1.77E00	1.52E-02	NaN	CREB1,IL6,NOTUM	
trans-Golgi Network Vesicle Budding	1.74E00	2.67E-02	NaN	ARF1,SH3GL2	
Nicotine Degradation III	1.74E00	2.67E-02	NaN	CYP1A1,CYP1B1	
Oxytocin in Brain Signaling Pathway	1.74E00	1.49E-02	NaN	CREB1,IL6,PTPN1	
ID1 Signaling Pathway	1.73E00	1.47E-02	NaN	CDKN1A,IL6,MYC	
Thioredoxin Pathway	1.72E00	1.43E-01	NaN	TXNRD1	
Integrin Signaling	1.7E00	1.44E-02	NaN	ACTN2,ARF1,TSPAN4	
Signaling by MET	1.7E00	2.53E-02	NaN	PTPN1,SH3GL2	
TREM1 Signaling	1.7E00	2.53E-02	NaN	CSF2,IL6	
Degradation of the extracellular matrix	1.68E00	2.47E-02	NaN	ADAMTS5,SPP1	
Signaling by NTRK1 (TRKA)	1.68E00	2.47E-02	NaN	CREB1,SH3GL2	
Regulation of NFE2L2 gene expression	1.66E00	1.25E-01	NaN	MYC	
Melatonin Degradation I	1.66E00	2.41E-02	NaN	CYP1A1,CYP1B1	
BEX2 Signaling Pathway	1.66E00	2.41E-02	NaN	CDKN1A,SPP1	
Multiple Sclerosis Signaling Pathway	1.65E00	1.38E-02	NaN	C2,CSF2,IL6	
Nicotine Degradation II	1.65E00	2.38E-02	NaN	CYP1A1,CYP1B1	
Activation of NMDA receptors and postsynaptic events	1.64E00	2.35E-02	NaN	ACTN2,CREB1	
TP53 Regulates Metabolic Genes	1.64E00	2.35E-02	NaN	SFN,TXNRD1	
Thrombin Signaling	1.63E00	1.35E-02	NaN	CREB1,MYL4,NOTUM	
BAG2 Signaling Pathway	1.62E00	2.3E-02	NaN	CDKN1A,MYC	
Glycation Signaling Pathway	1.62E00	1.33E-02	NaN	CSF2,IL6,STAB1	
NAP1L1 Transcription Regulation Signaling Pathway	1.6E00	2.25E-02	NaN	CDKN1A,MYC	
HER-2 Signaling in Breast Cancer	1.6E00	1.31E-02	NaN	ARF1,CDKN1A,MYC	
Xenobiotic Metabolism PXR Signaling Pathway	1.59E00	1.3E-02	NaN	ALDH1A2,Gsta1 (includes others),Il4i1/Il4i1b	
Xenobiotic Metabolism CAR Signaling Pathway	1.58E00	1.29E-02	NaN	ALDH1A2,CYP1A1,Gsta1 (includes others)	
Unfolded protein response	1.57E00	2.15E-02	NaN	CEBPD,HSPH1	
CREB Signaling in Neurons	1.56E00	8.1E-03	NaN	BDKRB2,CREB1,FPR1,NOTUM,TACR1	
Hepatic Fibrosis Signaling Pathway	1.56E00	9.59E-03	NaN	CREB1,MYC,MYL4,SPP1	
MITF-M-dependent gene expression	1.55E00	2.11E-02	NaN	CDKN1A,CREB1	
Osteoarthritis Pathway	1.55E00	1.25E-02	NaN	ADAMTS5,CREB1,SPP1	
Immunogenic Cell Death Signaling Pathway	1.54E00	2.08E-02	NaN	FPR1,IL6	
VEGF Signaling	1.53E00	2.06E-02	NaN	ACTN2,SFN	
Metallothioneins bind metals	1.53E00	9.09E-02	NaN	MT2A	
Interferon gamma signaling	1.53E00	2.04E-02	NaN	MT2A,PTPN1	
DNA Methylation and Transcriptional Repression Signaling	1.53E00	2.04E-02	NaN	GADD45G,MYC	
Crosstalk between Dendritic Cells and Natural Killer Cells	1.53E00	2.04E-02	NaN	CSF2,IL6	
Neddylation	1.52E00	1.22E-02	NaN	ASB14,CDKN1A,KBTBD7	
Serotonin Degradation	1.52E00	2.02E-02	NaN	ALDH1A2,Il4i1/Il4i1b	
S Phase	1.51E00	2E-02	NaN	CDKN1A,MYC	
Apelin Cardiomyocyte Signaling Pathway	1.51E00	2E-02	NaN	MYL4,NOTUM	
Cyclophilin Signaling Pathway	1.5E00	1.2E-02	NaN	CREB1,IL6,SPP1	
Hematopoiesis from Multipotent Stem Cells	1.49E00	8.33E-02	NaN	CSF2	
Cargo recognition for clathrin-mediated endocytosis	1.47E00	1.9E-02	NaN	SH3GL2,TACR1	
G alpha (i) signalling events	1.46E00	1.16E-02	NaN	BDKRB2,FPR1,RGS22	
Paxillin Signaling	1.46E00	1.87E-02	NaN	ACTN2,ARF1	
Dolichyl-diphosphooligosaccharide Biosynthesis	1.45E00	7.69E-02	NaN	ALG11	
RAF/MAP kinase cascade	1.45E00	1.15E-02	NaN	ACTN2,CSF2,KBTBD7	
Telomerase Signaling	1.45E00	1.85E-02	NaN	CDKN1A,MYC	
Deubiquitination	1.44E00	1.13E-02	NaN	MYC,TNIP1,TNIP3	
mRNA 3 Prime End Processing Signaling Pathway	1.42E00	1.79E-02	NaN	CNOT10,MYC	
NRF2-mediated Oxidative Stress Response	1.42E00	1.11E-02	NaN	CYP1A1,Gsta1 (includes others),TXNRD1	
Phase I - Functionalization of compounds	1.41E00	1.77E-02	NaN	CYP1A1,CYP1B1	
O-linked glycosylation	1.41E00	1.77E-02	NaN	ADAMTS5,B3GNT2	
Airway Pathology in Chronic Obstructive Pulmonary Disease	1.41E00	1.75E-02	NaN	CSF2,IL6	
Circadian Rhythm Signaling	1.4E00	1.1E-02	NaN	CREB1,MYC,NOTUM	
YAP1- and WWTR1 (TAZ)-stimulated gene expression	1.39E00	6.67E-02	NaN	NPPA	
Phenylalanine Degradation IV (Mammalian, via Side Chain)	1.39E00	6.67E-02	NaN	Il4i1/Il4i1b	
Sleep NREM Signaling Pathway	1.39E00	1.72E-02	NaN	CREB1,SFN	
Prostate Cancer Signaling	1.39E00	1.72E-02	NaN	CDKN1A,CREB1	
Regulation of lipid metabolism by PPARalpha	1.37E00	1.68E-02	NaN	CYP1A1,TXNRD1	
Bladder Cancer Signaling	1.37E00	1.68E-02	NaN	CDKN1A,MYC	
Eicosanoid Signaling	1.37E00	1.06E-02	NaN	CREB1,MYC,NOTUM	
Eukaryotic Translation Elongation	1.35E00	1.64E-02	NaN	EEF1A2,RPL3L	
FOXO-mediated transcription of cell cycle genes	1.34E00	5.88E-02	NaN	CDKN1A	
p38 MAPK Signaling	1.34E00	1.61E-02	NaN	CREB1,MYC	
Phagosome Formation	1.34E00	7.03E-03	NaN	BDKRB2,FPR1,MARCO,MYL4,TACR1	
G-Protein Coupled Receptor Signaling	1.33E00	7E-03	NaN	BDKRB2,CREB1,FPR1,MYL4,TACR1	
BBSome Signaling Pathway	1.33E00	8.08E-03	NaN	BDKRB2,FPR1,IFT43,TACR1	
Gastrin-CREB signalling pathway via PKC and MAPK	1.32E00	5.56E-02	NaN	CREB1	
Mineralocorticoid Biosynthesis	1.32E00	5.56E-02	NaN	Gsta1 (includes others)	
MHC class II antigen presentation	1.32E00	1.56E-02	NaN	ARF1,SH3GL2	
Glioma Signaling	1.32E00	1.56E-02	NaN	CDKN1A,Cdkn2a	
LPS/IL-1 Mediated Inhibition of RXR Function	1.31E00	1.01E-02	NaN	ALDH1A2,Gsta1 (includes others),Il4i1/Il4i1b	
Clathrin-mediated endocytosis	1.31E00	1.55E-02	NaN	SH3GL2,TACR1	
ROBO SLIT Signaling Pathway	1.31E00	1.55E-02	NaN	ARF1,CDKN1A	
Histone Modification Signaling Pathway	1.3E00	1E-02	NaN	KDM6A,MYC,SFN	
Senescence Pathway	1.3E00	1E-02	NaN	CDKN1A,GADD45G,IL6	
FOXO-mediated transcription	1.29E00	5.26E-02	NaN	SFN	
Glucocorticoid Biosynthesis	1.29E00	5.26E-02	NaN	Gsta1 (includes others)	
HGF Signaling	1.29E00	1.52E-02	NaN	CDKN1A,IL6	
14-3-3-mediated Signaling	1.29E00	1.5E-02	NaN	NOTUM,SFN	
Synaptic Long Term Potentiation	1.28E00	1.49E-02	NaN	CREB1,NOTUM	
White Adipose Tissue Browning Pathway	1.26E00	1.45E-02	NaN	CREB1,NPPA	
STAT3 Pathway	1.25E00	1.44E-02	NaN	CDKN1A,MYC	
Lung Ionic Balance Signaling Pathway	1.25E00	7.6E-03	NaN	BDKRB2,FPR1,NOTUM,TACR1	
Selenoamino acid metabolism	1.21E00	1.37E-02	NaN	RPL3L,TXNRD1	
RAF-independent MAPK1/3 activation	1.21E00	4.35E-02	NaN	IL6	
Nephrin family interactions	1.21E00	4.35E-02	NaN	ACTN2	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	1.21E00	4.35E-02	NaN	CSF2	
Androgen Biosynthesis	1.21E00	4.35E-02	NaN	Gsta1 (includes others)	
Fatty Acid α-oxidation	1.21E00	4.35E-02	NaN	ALDH1A2	
Apelin Cardiac Fibroblast Signaling Pathway	1.21E00	4.35E-02	NaN	IL6	
PIP3 activates AKT signaling	1.21E00	1.36E-02	NaN	CDKN1A,CREB1	
Class A/1 (Rhodopsin-like receptors)	1.2E00	9.01E-03	NaN	BDKRB2,FPR1,TACR1	
Interleukin-6 family signaling	1.19E00	4.17E-02	NaN	IL6	
Histamine Degradation	1.19E00	4.17E-02	NaN	ALDH1A2	
Vitamin-C Transport	1.19E00	4.17E-02	NaN	TXNRD1	
Growth hormone receptor signaling	1.18E00	4E-02	NaN	PTPN1	
Cardiomyocyte Differentiation via BMP Receptors	1.16E00	3.85E-02	NaN	NPPA	
Integrin signaling	1.15E00	3.7E-02	NaN	PTPN1	
Ethanol Degradation IV	1.15E00	3.7E-02	NaN	ALDH1A2	
HMGB1 Signaling	1.14E00	1.25E-02	NaN	CSF2,IL6	
Inhibition of ARE-Mediated mRNA Degradation Pathway	1.13E00	1.23E-02	NaN	CNOT10,SFN	
RHO GTPases activate PKNs	1.13E00	3.57E-02	NaN	SFN	
Interconversion of nucleotide di- and triphosphates	1.12E00	3.45E-02	NaN	TXNRD1	
TNFs bind their physiological receptors	1.12E00	3.45E-02	NaN	TNFRSF9	
Glutathione Redox Reactions I	1.1E00	3.33E-02	NaN	Gsta1 (includes others)	
Aldosterone Signaling in Epithelial Cells	1.09E00	1.17E-02	NaN	HSPH1,NOTUM	
Cachexia Signaling Pathway	1.09E00	8.15E-03	NaN	CEBPD,CSF2,IL6	
Signaling by ALK	1.09E00	3.23E-02	NaN	MYC	
WNT/β-catenin Signaling	1.08E00	1.15E-02	NaN	GJA1,MYC	
G alpha (q) signalling events	1.08E00	1.14E-02	NaN	BDKRB2,TACR1	
Chromatin modifications during the maternal to zygotic transition (MZT)	1.07E00	3.12E-02	NaN	KDM6A	
Dendritic Cell Maturation	1.07E00	6.59E-03	NaN	CREB1,CSF2,IL6,NOTUM	
Breast Cancer Regulation by Stathmin1	1.06E00	6.58E-03	NaN	BDKRB2,CREB1,FPR1,TACR1	
MAPK targets/ Nuclear events mediated by MAP kinases	1.06E00	3.03E-02	NaN	CREB1	
Airway Inflammation in Asthma	1.06E00	3.03E-02	NaN	CSF2	
Class I MHC mediated antigen processing and presentation	1.06E00	7.87E-03	NaN	ASB14,KBTBD7,UBE3A	
Tight Junction Signaling	1.05E00	1.1E-02	NaN	CLDN15,MYL4	
Erythropoietin Signaling Pathway	1.05E00	1.1E-02	NaN	CSF2,IL6	
Molecular Mechanisms of Cancer	1.05E00	5.79E-03	NaN	BDKRB2,CDKN1A,FPR1,MYC,TACR1	
Signaling by NOTCH2	1.05E00	2.94E-02	NaN	CREB1	
4-1BB Signaling in T Lymphocytes	1.05E00	2.94E-02	NaN	TNFRSF9	
Oncogene Induced Senescence	1.04E00	2.86E-02	NaN	Cdkn2a	
Coagulation System	1.04E00	2.86E-02	NaN	BDKRB2	
Dopamine-DARPP32 Feedback in cAMP Signaling	1.03E00	1.07E-02	NaN	CREB1,NOTUM	
Macrophage Classical Activation Signaling Pathway	1.03E00	1.06E-02	NaN	CSF2,IL6	
Hepatitis B Chronic Liver Pathogenesis Signaling Pathway	1.03E00	1.06E-02	NaN	CREB1,IL6	
IL-17 Signaling	1.02E00	1.06E-02	NaN	CSF2,IL6	
D-myo-inositol (1,4,5,6)-Tetrakisphosphate Biosynthesis	1.02E00	1.05E-02	NaN	DUSP11,PTPN1	
D-myo-inositol (3,4,5,6)-tetrakisphosphate Biosynthesis	1.02E00	1.05E-02	NaN	DUSP11,PTPN1	
Detoxification of Reactive Oxygen Species	1.01E00	2.7E-02	NaN	TXNRD1	
Gene and protein expression by JAK-STAT signaling after IL-12 stimulation	1.01E00	2.7E-02	NaN	ARF1	
Acute Phase Response Signaling	1.01E00	1.05E-02	NaN	C2,IL6	
Hepatic Fibrosis / Hepatic Stellate Cell Activation	1.01E00	1.04E-02	NaN	IL6,MYL4	
Leukocyte Extravasation Signaling	1E00	1.03E-02	NaN	ACTN2,CLDN15	
NOD1/2 Signaling Pathway	1E00	1.03E-02	NaN	CSF2,IL6	
Endothelin-1 Signaling	1E00	1.03E-02	NaN	MYC,NOTUM	
NGF-stimulated transcription	9.92E-01	2.56E-02	NaN	CREB1	
Complement System	9.92E-01	2.56E-02	NaN	C2	
CDX Gastrointestinal Cancer Signaling Pathway	9.91E-01	1.02E-02	NaN	CSF2,IL6	
PPARα/RXRα Activation	9.91E-01	1.02E-02	NaN	IL6,NOTUM	
Transcriptional Regulation by VENTX	9.82E-01	2.5E-02	NaN	IL6	
3-phosphoinositide Degradation	9.76E-01	9.95E-03	NaN	DUSP11,PTPN1	
PI3K/AKT Signaling	9.73E-01	9.9E-03	NaN	CDKN1A,SFN	
DAG and IP3 signaling	9.72E-01	2.44E-02	NaN	CREB1	
Mechanisms of Viral Exit from Host Cells	9.72E-01	2.44E-02	NaN	SH3GL2	
Pulmonary Healing Signaling Pathway	9.66E-01	9.8E-03	NaN	CSF2,MYC	
Formation of WDR5-containing histone-modifying complexes	9.62E-01	2.38E-02	NaN	KDM6A	
Ethanol Degradation II	9.62E-01	2.38E-02	NaN	ALDH1A2	
D-myo-inositol-5-phosphate Metabolism	9.59E-01	9.71E-03	NaN	DUSP11,PTPN1	
Oncostatin M Signaling	9.52E-01	2.33E-02	NaN	MT2A	
Assembly and cell surface presentation of NMDA receptors	9.43E-01	2.27E-02	NaN	ACTN2	
Coronavirus Pathogenesis Pathway	9.42E-01	9.48E-03	NaN	EEF1A2,IL6	
Activin Inhibin Signaling Pathway	9.38E-01	9.43E-03	NaN	CDKN1A,IL6	
HIF1α Signaling	9.38E-01	9.43E-03	NaN	CDKN1A,IL6	
Signaling by Insulin receptor	9.34E-01	2.22E-02	NaN	PTPN1	
3-phosphoinositide Biosynthesis	9.25E-01	9.26E-03	NaN	DUSP11,PTPN1	
Signaling by Retinoic Acid	9.25E-01	2.17E-02	NaN	ALDH1A2	
M-decay: degradation of maternal mRNAs by maternally stored factors	9.25E-01	2.17E-02	NaN	CNOT10	
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	9.25E-01	2.17E-02	NaN	SPP1	
IL-23 Signaling Pathway	9.25E-01	2.17E-02	NaN	CSF2	
Calcium Signaling	9.18E-01	9.17E-03	NaN	CREB1,MYL4	
Interleukin-2 family signaling	9.16E-01	2.13E-02	NaN	CSF2	
Heme signaling	9.16E-01	2.13E-02	NaN	CREB1	
Autophagy	9.12E-01	9.09E-03	NaN	CREB1,MYC	
ERK/MAPK Signaling	9.09E-01	9.05E-03	NaN	CREB1,MYC	
Hepatic Cholestasis	8.99E-01	8.93E-03	NaN	CSF2,IL6	
PFKFB4 Signaling Pathway	8.99E-01	2.04E-02	NaN	CREB1	
NAFLD Signaling Pathway	8.96E-01	8.89E-03	NaN	CSF2,IL6	
Melanoma Signaling	8.91E-01	2E-02	NaN	CDKN1A	
MYC Mediated Apoptosis Signaling	8.91E-01	2E-02	NaN	MYC	
Role of NFAT in Cardiac Hypertrophy	8.87E-01	8.77E-03	NaN	IL6,NOTUM	
Gap junction trafficking and regulation	8.83E-01	1.96E-02	NaN	GJA1	
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	8.83E-01	1.96E-02	NaN	MYC	
Transcriptional regulation by RUNX2	8.83E-01	1.96E-02	NaN	CDKN1A	
Transcriptional and post-translational regulation of MITF-M expression and activity	8.83E-01	1.96E-02	NaN	CREB1	
Glutathione-mediated Detoxification	8.83E-01	1.96E-02	NaN	Gsta1 (includes others)	
FAT10 Cancer Signaling Pathway	8.83E-01	1.96E-02	NaN	IL6	
Retinoate Biosynthesis I	8.75E-01	1.92E-02	NaN	ALDH1A2	
Neurovascular Coupling Signaling Pathway	8.72E-01	8.58E-03	NaN	BDKRB2,GJA1	
Signaling by EGFR	8.67E-01	1.89E-02	NaN	SH3GL2	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	8.6E-01	8.44E-03	NaN	CLDN15,GJA1	
EIF2 Signaling	8.57E-01	8.4E-03	NaN	MYC,RPL3L	
Systemic Lupus Erythematosus in B Cell Signaling Pathway	8.53E-01	5.49E-03	NaN	CSF2,Igkv16-104,IL6,MYC	
Intrinsic Pathway for Apoptosis	8.52E-01	1.82E-02	NaN	SFN	
Signaling by PTK6	8.52E-01	1.82E-02	NaN	PTPN1	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	8.51E-01	8.33E-03	NaN	CSF2,IL6	
Orexin Signaling Pathway	8.48E-01	8.3E-03	NaN	IL6,NOTUM	
