Input,Operator,Iteration,RMSE,Complexity,Equation
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",3,19.134108525401388,14,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - 1*(-26.030624))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",3,18.096693876811006,16,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-21.056156))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",3,17.14792932772958,17,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - var6 - 16.081818))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",3,16.045824094061846,19,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",4,59.47910381686804,1,PySRFunction(X=>var14)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",4,26.584588264485287,2,PySRFunction(X=>55.8778300000000)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",4,24.76447239010006,6,PySRFunction(X=>var6 - (-var3 - 42.955032))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",4,22.651601109502636,7,PySRFunction(X=>var6 + var6 + var6 + 40.95439)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",4,21.75401944907962,10,PySRFunction(X=>var13 + var6 + var6 + var6 - 1*(-39.42658))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",4,20.246550807996908,12,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-31.005018))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",4,19.134108525401388,14,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - 1*(-26.030624))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",4,18.096693876811006,16,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-21.056156))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",4,17.14792932772958,17,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - var6 - 16.081818))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",4,17.14792940366495,18,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - var6 - 16.0801))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",4,16.045824094061846,19,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",5,59.47910381686804,1,PySRFunction(X=>var14)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",5,26.584588264485287,2,PySRFunction(X=>55.8778300000000)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",5,24.76447239010006,6,PySRFunction(X=>var6 - (-var3 - 42.955032))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",5,22.651601109502636,7,PySRFunction(X=>var6 + var6 + var6 + 40.95439)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",5,21.75401944907962,10,PySRFunction(X=>var13 + var6 + var6 + var6 - 1*(-39.42658))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",5,20.246550807996908,12,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-31.005018))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",5,19.134108525401388,14,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - 1*(-26.030624))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",5,18.096693876811006,16,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-21.056156))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",5,17.14792932752629,17,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.08166))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",5,16.045824094061846,19,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",6,59.47910381686804,1,PySRFunction(X=>var14)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",6,26.584588264485287,2,PySRFunction(X=>55.8778300000000)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",6,24.76447239010006,6,PySRFunction(X=>var6 - (-var3 - 42.955032))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",6,22.651601109502636,7,PySRFunction(X=>var6 + var6 + var6 + 40.95439)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",6,21.75401944907962,10,PySRFunction(X=>var13 + var6 + var6 + var6 - 1*(-39.42658))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",6,20.246550807996908,12,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-31.005018))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",6,19.134108525401388,14,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - 1*(-26.030624))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",6,18.096693876811006,16,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-21.056156))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",6,17.14792932752629,17,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.08166))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",6,16.045824094061846,19,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",7,59.47910381686804,1,PySRFunction(X=>var14)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",7,26.584588264485287,2,PySRFunction(X=>55.8778300000000)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",7,24.76447239010006,6,PySRFunction(X=>var6 - (-var3 - 42.955032))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",7,22.651601109502636,7,PySRFunction(X=>var6 + var6 + var6 + 40.95439)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",7,21.42233555942965,10,PySRFunction(X=>var6 + var6 + var6 + var6 + 35.979755)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",7,20.246550807996908,12,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-31.005018))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",7,19.134108525401388,14,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - 1*(-26.030624))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",7,18.096693876811006,16,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-21.056156))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",7,17.14792932752629,17,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.08166))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",7,16.045824094061846,19,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",8,59.47910381686804,1,PySRFunction(X=>var14)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",8,26.584588264485287,2,PySRFunction(X=>55.8778300000000)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",8,23.926105732777373,6,PySRFunction(X=>var6 - (-var6 - 45.928814))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",8,22.651601109502636,7,PySRFunction(X=>var6 + var6 + var6 + 40.95439)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",8,21.422335559634053,9,PySRFunction(X=>var6 + var6 + var6 + var6 - 1*(-35.979855))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",8,20.246550807996908,12,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-31.005018))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",8,19.328352913481204,13,PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 - 1*(-29.478582))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",8,19.134108525401388,14,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - 1*(-26.030624))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",8,18.096693876811006,16,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-21.056156))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",8,17.14792932752629,17,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.08166))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",8,16.045824094061846,19,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",9,59.47910381686804,1,PySRFunction(X=>var14)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",9,26.584588264485287,2,PySRFunction(X=>55.8778300000000)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",9,23.926105732777373,6,PySRFunction(X=>var6 - (-var6 - 45.928814))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",9,22.651601109502636,7,PySRFunction(X=>var6 + var6 + var6 + 40.95439)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",9,21.422335559634053,9,PySRFunction(X=>var6 + var6 + var6 + var6 - 1*(-35.979855))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",9,20.246550807996908,12,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-31.005018))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",9,19.328352913481204,13,PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 - 1*(-29.478582))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",9,19.134108525401388,14,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - 1*(-26.030624))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",9,18.096693876811006,16,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-21.056156))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",9,17.14792932752629,17,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.08166))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",9,16.045824094061846,19,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",10,59.47910381686804,1,PySRFunction(X=>var14)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",10,26.584588264485287,2,PySRFunction(X=>55.8778300000000)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",10,23.926105732777373,6,PySRFunction(X=>var6 - (-var6 - 45.928814))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",10,22.651601109502636,7,PySRFunction(X=>var6 + var6 + var6 + 40.95439)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",10,21.422335559634053,9,PySRFunction(X=>var6 + var6 + var6 + var6 - 1*(-35.979855))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",10,20.246550807996908,12,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-31.005018))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",10,19.328352913481204,13,PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 - 1*(-29.478582))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",10,19.134108525401388,14,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - 1*(-26.030624))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",10,18.096693876811006,16,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-21.056156))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",10,17.14792932752629,17,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.08166))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",10,16.045824094061846,19,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",11,59.47910381686804,1,PySRFunction(X=>var14)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",11,26.584588264485287,2,PySRFunction(X=>55.8778300000000)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",11,23.926105732777373,6,PySRFunction(X=>var6 - (-var6 - 45.928814))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",11,22.651601109502636,7,PySRFunction(X=>var6 + var6 + var6 + 40.95439)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",11,21.422335559634053,9,PySRFunction(X=>var6 + var6 + var6 + var6 - 1*(-35.979855))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",11,21.422335770080117,10,PySRFunction(X=>var6 + var6 + var6 + var6 - 1*(-35.976757))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",11,20.246550807996908,12,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-31.005018))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",11,19.328352913481204,13,PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 - 1*(-29.478582))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",11,19.134108525401388,14,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - 1*(-26.030624))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",11,18.096693876811006,16,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-21.056156))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",11,17.14792932752629,17,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.08166))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",11,16.045824094061846,19,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",12,59.47910381686804,1,PySRFunction(X=>var14)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",12,26.584588264485287,2,PySRFunction(X=>55.8778300000000)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",12,23.926105732777373,6,PySRFunction(X=>var6 - (-var6 - 45.928814))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",12,22.651601109502636,7,PySRFunction(X=>var6 + var6 + var6 + 40.95439)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",12,21.422335559634053,9,PySRFunction(X=>var6 + var6 + var6 + var6 - 1*(-35.979855))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",12,21.422335770080117,10,PySRFunction(X=>var6 + var6 + var6 + var6 - 1*(-35.976757))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",12,20.246550807996908,12,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-31.005018))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",12,19.328352913481204,13,PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 - 1*(-29.478582))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",12,19.134108525401388,14,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - 1*(-26.030624))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",12,18.096693876811006,16,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-21.056156))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",12,17.14792932752629,17,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.08166))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",12,16.045824094061846,19,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",13,59.47910381686804,1,PySRFunction(X=>var14)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",13,26.584588264485287,2,PySRFunction(X=>55.8778300000000)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",13,23.926105732777373,6,PySRFunction(X=>var6 - (-var6 - 45.928814))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",13,22.651601109502636,7,PySRFunction(X=>var6 + var6 + var6 + 40.95439)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",13,21.422335559634053,9,PySRFunction(X=>var6 + var6 + var6 + var6 - 1*(-35.979855))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",13,21.422335770080117,10,PySRFunction(X=>var6 + var6 + var6 + var6 - 1*(-35.976757))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",13,20.246550807996908,12,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-31.005018))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",13,19.328352913481204,13,PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 - 1*(-29.478582))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",13,19.134108525401388,14,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - 1*(-26.030624))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",13,18.096693876811006,16,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-21.056156))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",13,17.14792932752629,17,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.08166))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",13,16.045824094061846,19,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",14,59.47910381686804,1,PySRFunction(X=>var14)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",14,26.584588264485287,2,PySRFunction(X=>55.8778300000000)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",14,23.926105732777373,6,PySRFunction(X=>var6 - (-var6 - 45.928814))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",14,22.651601109502636,7,PySRFunction(X=>var6 + var6 + var6 + 40.95439)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",14,21.422335559634053,9,PySRFunction(X=>var6 + var6 + var6 + var6 - 1*(-35.979855))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",14,21.422335770080117,10,PySRFunction(X=>var6 + var6 + var6 + var6 - 1*(-35.976757))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",14,20.246550807996908,12,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-31.005018))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",14,19.328352913481204,13,PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 - 1*(-29.478582))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",14,19.134108525401388,14,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - 1*(-26.030624))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",14,18.096693876811006,16,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-21.056156))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",14,17.14792932752629,17,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.08166))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",14,16.045824094061846,19,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",15,59.47910381686804,1,PySRFunction(X=>var14)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",15,26.584588264485287,2,PySRFunction(X=>55.8778300000000)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",15,23.926105732777373,6,PySRFunction(X=>var6 - (-var6 - 45.928814))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",15,22.651601109502636,7,PySRFunction(X=>var6 + var6 + var6 + 40.95439)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",15,21.422335559634053,9,PySRFunction(X=>var6 + var6 + var6 + var6 - 1*(-35.979855))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",15,21.422335770080117,10,PySRFunction(X=>var6 + var6 + var6 + var6 - 1*(-35.976757))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",15,20.246550807996908,12,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-31.005018))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",15,19.328352913481204,13,PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 - 1*(-29.478582))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",15,19.134108525401388,14,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - 1*(-26.030624))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",15,18.096693876811006,16,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-21.056156))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",15,17.14792932752629,17,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.08166))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",15,16.045824094061846,19,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",16,59.47910381686804,1,PySRFunction(X=>var14)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",16,26.584588264485287,2,PySRFunction(X=>55.8778300000000)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",16,23.926105732777373,6,PySRFunction(X=>var6 - (-var6 - 45.928814))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",16,22.651601109502636,7,PySRFunction(X=>var6 + var6 + var6 + 40.95439)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",16,21.422335559634053,9,PySRFunction(X=>var6 + var6 + var6 + var6 - 1*(-35.979855))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",16,21.422335770080117,10,PySRFunction(X=>var6 + var6 + var6 + var6 - 1*(-35.976757))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",16,20.246550807996908,12,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 - 1*(-31.005018))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",16,19.328352913481204,13,PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 - 1*(-29.478582))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",16,19.134108525401388,14,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 - 1*(-26.030624))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",16,18.096693876811006,16,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-21.056156))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",16,17.14792932752629,17,PySRFunction(X=>var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - 1*(-16.08166))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",16,16.045824094061846,19,PySRFunction(X=>var3 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6 + var6)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",17,59.47910381686804,1,PySRFunction(X=>var14)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",17,26.584588264485287,2,PySRFunction(X=>55.8778300000000)
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",17,23.926105732777373,6,PySRFunction(X=>var6 - (-var6 - 45.928814))
Noise=0.25,"['myfunction(x) = x'] ['-', '+']",17,22.651601109502636,7,PySRFunction(X=>var6 + var6 + var6 + 40.95439)
